A Hora do Mal,2025,7.9/10,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
Uma Sexta-Feira Mais Louca Ainda,2025,7.1/10,"22 years after Tess and Anna endured an identity crisis, Anna now has a daughter and a soon-to-be stepdaughter. As they navigate the challenges that come when two families merge, Tess and An... Read all"
Corra que a Polícia Vem Aí!,2025,7.0/10,Only one man has the particular set of skills - to lead Police Squad and save the world.
A Última Missão,2025,5.4/10,A routine cash pickup turns into a deadly pursuit when two mismatched armored truck drivers are ambushed by ruthless criminals with plans beyond the cash.
Quarteto Fantástico: Primeiros Passos,2025,7.3/10,"Forced to balance their roles as heroes with the strength of their family bond, the Fantastic Four must defend Earth from a ravenous space god called Galactus and his enigmatic Herald, Silve... Read all"
Superman,2025,7.5/10,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world... Read all"
Juntos,2025,7.0/10,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country. With tensions already flaring, an encounter with an unnatural force threatens to co... Read all"
Guerra dos Mundos,2025,2.7/10,"A gargantuan invasion is coming with this fresh take on the legendary novel of the same name, that is filled with present-day themes of technology, surveillance, and privacy."
Um Maluco no Golfe 2,2025,6.2/10,Revisit Happy Gilmore's golf career after his win in the Tour Championship.
Jurassic World: Recomeço,2025,6.0/10,"Five years post-Jurassic World: Domínio (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthr... Read all"
Meu Ano em Oxford,2025,6.0/10,"When Anna, an ambitious young American woman, sets out for Oxford University to fulfill a childhood dream, she has her life completely on track until she meets a charming and clever local wh... Read all"
Extermínio: A Evolução,2025,6.8/10,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mu... Read all"
Pecadores,2025,7.6/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
F1: O Filme,2025,7.9/10,A Formula One driver comes out of retirement to mentor and team up with a younger driver.
Eden,2024,6.4/10,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other."
Faça Ela Voltar,2025,7.2/10,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.
Guerreiras do K-Pop,2025,7.7/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
Premonição 6: Laços de Sangue,2025,6.8/10,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them... Read all"
Noites Brutais,2022,7.0/10,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.
Amores Materialistas,2025,6.4/10,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex."
Operação Vingança,2025,6.5/10,"When his supervisors at the CIA refuse to take action after his wife is killed in a London terrorist attack, a decoder takes matters into his own hands."
Um Maluco no Golfe,1996,7.0/10,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back."
A Vida de Chuck,2024,7.4/10,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz."
Sexta-Feira Muito Louca,2003,6.4/10,"Dr. Tess Coleman and her daughter, Anna, do not get along with each other. However, things take a turn when, in a freak accident, they switch bodies and are forced to live each other's lives... Read all"
Freaky Tales,2024,6.3/10,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe."
